
rec. loss: 0.009560	 rec. val: 0.014537	 adv. loss: 0.013337	 adv. val: 0.014973	 dsc. loss: 0.674824	 dsc. val: 0.710688
rec. loss: 0.009495	 rec. val: 0.013918	 adv. loss: 0.013267	 adv. val: 0.014353	 dsc. loss: 0.674707	 dsc. val: 0.696019
rec. loss: 0.009436	 rec. val: 0.013940	 adv. loss: 0.013211	 adv. val: 0.014375	 dsc. loss: 0.674899	 dsc. val: 0.697781
rec. loss: 0.009375	 rec. val: 0.015311	 adv. loss: 0.013138	 adv. val: 0.015756	 dsc. loss: 0.675614	 dsc. val: 0.704142
rec. loss: 0.009327	 rec. val: 0.014482	 adv. loss: 0.013094	 adv. val: 0.014916	 dsc. loss: 0.675662	 dsc. val: 0.698756
rec. loss: 0.009288	 rec. val: 0.015378	 adv. loss: 0.013052	 adv. val: 0.015829	 dsc. loss: 0.675909	 dsc. val: 0.708788
rec. loss: 0.009241	 rec. val: 0.013823	 adv. loss: 0.013006	 adv. val: 0.014261	 dsc. loss: 0.675765	 dsc. val: 0.703618
rec. loss: 0.009194	 rec. val: 0.014440	 adv. loss: 0.012953	 adv. val: 0.014879	 dsc. loss: 0.675843	 dsc. val: 0.697657
rec. loss: 0.009183	 rec. val: 0.014007	 adv. loss: 0.012946	 adv. val: 0.014441	 dsc. loss: 0.675913	 dsc. val: 0.697530
rec. loss: 0.009139	 rec. val: 0.013679	 adv. loss: 0.012898	 adv. val: 0.014115	 dsc. loss: 0.675997	 dsc. val: 0.700823
rec. loss: 0.009093	 rec. val: 0.013942	 adv. loss: 0.012852	 adv. val: 0.014378	 dsc. loss: 0.675752	 dsc. val: 0.713341
rec. loss: 0.009062	 rec. val: 0.013986	 adv. loss: 0.012820	 adv. val: 0.014422	 dsc. loss: 0.676050	 dsc. val: 0.706662
rec. loss: 0.009027	 rec. val: 0.014033	 adv. loss: 0.012785	 adv. val: 0.014474	 dsc. loss: 0.676375	 dsc. val: 0.699968
rec. loss: 0.008984	 rec. val: 0.013927	 adv. loss: 0.012738	 adv. val: 0.014368	 dsc. loss: 0.676596	 dsc. val: 0.699642
rec. loss: 0.008936	 rec. val: 0.013033	 adv. loss: 0.012682	 adv. val: 0.013470	 dsc. loss: 0.676900	 dsc. val: 0.696946
rec. loss: 0.008884	 rec. val: 0.013257	 adv. loss: 0.012633	 adv. val: 0.013694	 dsc. loss: 0.677409	 dsc. val: 0.713214
rec. loss: 0.008828	 rec. val: 0.014986	 adv. loss: 0.012574	 adv. val: 0.015424	 dsc. loss: 0.677232	 dsc. val: 0.698469
rec. loss: 0.008790	 rec. val: 0.013262	 adv. loss: 0.012537	 adv. val: 0.013699	 dsc. loss: 0.676505	 dsc. val: 0.700796
rec. loss: 0.008755	 rec. val: 0.013448	 adv. loss: 0.012506	 adv. val: 0.013882	 dsc. loss: 0.677568	 dsc. val: 0.699540
rec. loss: 0.008743	 rec. val: 0.015105	 adv. loss: 0.012493	 adv. val: 0.015556	 dsc. loss: 0.677495	 dsc. val: 0.707819
