rec. loss: 0.011534	 rec. val: 0.014747	 adv. loss: 0.329039	 adv. val: 0.337154	 dsc. loss: 0.681091	 dsc. val: 0.681028
rec. loss: 0.011686	 rec. val: 0.015419	 adv. loss: 0.336789	 adv. val: 0.334533	 dsc. loss: 0.681006	 dsc. val: 0.683068
rec. loss: 0.011527	 rec. val: 0.015291	 adv. loss: 0.344059	 adv. val: 0.356555	 dsc. loss: 0.681018	 dsc. val: 0.681676
rec. loss: 0.011532	 rec. val: 0.015436	 adv. loss: 0.351559	 adv. val: 0.366694	 dsc. loss: 0.681011	 dsc. val: 0.682450
rec. loss: 0.011501	 rec. val: 0.015857	 adv. loss: 0.358931	 adv. val: 0.374612	 dsc. loss: 0.681055	 dsc. val: 0.682436
rec. loss: 0.011420	 rec. val: 0.018197	 adv. loss: 0.366321	 adv. val: 0.409579	 dsc. loss: 0.681071	 dsc. val: 0.696162
rec. loss: 0.011368	 rec. val: 0.014036	 adv. loss: 0.373645	 adv. val: 0.390741	 dsc. loss: 0.681051	 dsc. val: 0.683544
rec. loss: 0.011343	 rec. val: 0.014839	 adv. loss: 0.381128	 adv. val: 0.380293	 dsc. loss: 0.681061	 dsc. val: 0.681696
rec. loss: 0.011324	 rec. val: 0.014356	 adv. loss: 0.388411	 adv. val: 0.406178	 dsc. loss: 0.681093	 dsc. val: 0.683301
rec. loss: 0.011300	 rec. val: 0.013935	 adv. loss: 0.396098	 adv. val: 0.405044	 dsc. loss: 0.681076	 dsc. val: 0.681190
rec. loss: 0.011379	 rec. val: 0.013725	 adv. loss: 0.403601	 adv. val: 0.416880	 dsc. loss: 0.681046	 dsc. val: 0.682107
rec. loss: 0.011305	 rec. val: 0.013994	 adv. loss: 0.410960	 adv. val: 0.410164	 dsc. loss: 0.681064	 dsc. val: 0.681260
rec. loss: 0.011243	 rec. val: 0.012993	 adv. loss: 0.418522	 adv. val: 0.417598	 dsc. loss: 0.681006	 dsc. val: 0.681170
rec. loss: 0.011359	 rec. val: 0.013794	 adv. loss: 0.426082	 adv. val: 0.424585	 dsc. loss: 0.681007	 dsc. val: 0.681301
rec. loss: 0.011311	 rec. val: 0.015320	 adv. loss: 0.433378	 adv. val: 0.435490	 dsc. loss: 0.680983	 dsc. val: 0.681191
rec. loss: 0.011230	 rec. val: 0.014720	 adv. loss: 0.440753	 adv. val: 0.438655	 dsc. loss: 0.681008	 dsc. val: 0.681676
rec. loss: 0.011221	 rec. val: 0.013484	 adv. loss: 0.448269	 adv. val: 0.450049	 dsc. loss: 0.680997	 dsc. val: 0.680952
rec. loss: 0.011139	 rec. val: 0.014219	 adv. loss: 0.455640	 adv. val: 0.467963	 dsc. loss: 0.680968	 dsc. val: 0.681591
rec. loss: 0.011099	 rec. val: 0.013750	 adv. loss: 0.462979	 adv. val: 0.459681	 dsc. loss: 0.681024	 dsc. val: 0.681628
rec. loss: 0.011069	 rec. val: 0.014437	 adv. loss: 0.470289	 adv. val: 0.492514	 dsc. loss: 0.681050	 dsc. val: 0.683637
rec. loss: 0.011161	 rec. val: 0.015393	 adv. loss: 0.477942	 adv. val: 0.491822	 dsc. loss: 0.681035	 dsc. val: 0.681352
rec. loss: 0.011087	 rec. val: 0.014188	 adv. loss: 0.485377	 adv. val: 0.485618	 dsc. loss: 0.681043	 dsc. val: 0.681111
rec. loss: 0.011027	 rec. val: 0.013362	 adv. loss: 0.492649	 adv. val: 0.499014	 dsc. loss: 0.681006	 dsc. val: 0.680942
rec. loss: 0.011036	 rec. val: 0.014682	 adv. loss: 0.500606	 adv. val: 0.503907	 dsc. loss: 0.680899	 dsc. val: 0.680989
rec. loss: 0.010972	 rec. val: 0.014754	 adv. loss: 0.507562	 adv. val: 0.512582	 dsc. loss: 0.681044	 dsc. val: 0.680887
rec. loss: 0.010931	 rec. val: 0.013535	 adv. loss: 0.515327	 adv. val: 0.522684	 dsc. loss: 0.680927	 dsc. val: 0.681033
rec. loss: 0.010858	 rec. val: 0.015362	 adv. loss: 0.522396	 adv. val: 0.528029	 dsc. loss: 0.680961	 dsc. val: 0.680824
rec. loss: 0.010906	 rec. val: 0.013960	 adv. loss: 0.530098	 adv. val: 0.531687	 dsc. loss: 0.680957	 dsc. val: 0.681078
rec. loss: 0.010912	 rec. val: 0.014298	 adv. loss: 0.537657	 adv. val: 0.606845	 dsc. loss: 0.680892	 dsc. val: 0.703051
rec. loss: 0.010876	 rec. val: 0.013099	 adv. loss: 0.544824	 adv. val: 0.572963	 dsc. loss: 0.680962	 dsc. val: 0.685035
rec. loss: 0.010851	 rec. val: 0.014631	 adv. loss: 0.552628	 adv. val: 0.559009	 dsc. loss: 0.680918	 dsc. val: 0.680882
rec. loss: 0.010842	 rec. val: 0.014112	 adv. loss: 0.559962	 adv. val: 0.555563	 dsc. loss: 0.680952	 dsc. val: 0.681598
rec. loss: 0.010815	 rec. val: 0.015117	 adv. loss: 0.567288	 adv. val: 0.572464	 dsc. loss: 0.680950	 dsc. val: 0.680778
rec. loss: 0.010708	 rec. val: 0.014259	 adv. loss: 0.574290	 adv. val: 0.586075	 dsc. loss: 0.680963	 dsc. val: 0.681209
rec. loss: 0.010762	 rec. val: 0.013854	 adv. loss: 0.582214	 adv. val: 0.578968	 dsc. loss: 0.680961	 dsc. val: 0.681156
rec. loss: 0.010787	 rec. val: 0.013279	 adv. loss: 0.589559	 adv. val: 0.584794	 dsc. loss: 0.680995	 dsc. val: 0.681431
rec. loss: 0.010657	 rec. val: 0.013569	 adv. loss: 0.596839	 adv. val: 0.591404	 dsc. loss: 0.680954	 dsc. val: 0.681566
rec. loss: 0.010750	 rec. val: 0.013962	 adv. loss: 0.604456	 adv. val: 0.665234	 dsc. loss: 0.680934	 dsc. val: 0.695885
rec. loss: 0.010763	 rec. val: 0.015608	 adv. loss: 0.611885	 adv. val: 0.617868	 dsc. loss: 0.680947	 dsc. val: 0.680857
rec. loss: 0.010670	 rec. val: 0.013006	 adv. loss: 0.619073	 adv. val: 0.623393	 dsc. loss: 0.680981	 dsc. val: 0.680883
rec. loss: 0.010685	 rec. val: 0.014057	 adv. loss: 0.626849	 adv. val: 0.650944	 dsc. loss: 0.680889	 dsc. val: 0.683323
rec. loss: 0.010607	 rec. val: 0.013846	 adv. loss: 0.634011	 adv. val: 0.633371	 dsc. loss: 0.680989	 dsc. val: 0.680961
rec. loss: 0.010594	 rec. val: 0.013188	 adv. loss: 0.641601	 adv. val: 0.651679	 dsc. loss: 0.680906	 dsc. val: 0.681209
rec. loss: 0.010644	 rec. val: 0.013707	 adv. loss: 0.649174	 adv. val: 0.697819	 dsc. loss: 0.680873	 dsc. val: 0.689773
rec. loss: 0.010607	 rec. val: 0.014827	 adv. loss: 0.656409	 adv. val: 0.671558	 dsc. loss: 0.680954	 dsc. val: 0.681460
rec. loss: 0.010630	 rec. val: 0.013894	 adv. loss: 0.664053	 adv. val: 0.670237	 dsc. loss: 0.680917	 dsc. val: 0.680854
rec. loss: 0.010590	 rec. val: 0.013883	 adv. loss: 0.671605	 adv. val: 0.676411	 dsc. loss: 0.680910	 dsc. val: 0.680868
rec. loss: 0.010545	 rec. val: 0.015028	 adv. loss: 0.678940	 adv. val: 0.665514	 dsc. loss: 0.680911	 dsc. val: 0.683526
rec. loss: 0.010556	 rec. val: 0.014245	 adv. loss: 0.686448	 adv. val: 0.702061	 dsc. loss: 0.680849	 dsc. val: 0.681499
rec. loss: 0.010656	 rec. val: 0.014581	 adv. loss: 0.693795	 adv. val: 0.685784	 dsc. loss: 0.680870	 dsc. val: 0.681992
rec. loss: 0.010614	 rec. val: 0.012374	 adv. loss: 0.701460	 adv. val: 0.696268	 dsc. loss: 0.680871	 dsc. val: 0.681093
rec. loss: 0.010493	 rec. val: 0.014264	 adv. loss: 0.708479	 adv. val: 0.717809	 dsc. loss: 0.680870	 dsc. val: 0.680915
rec. loss: 0.010571	 rec. val: 0.013145	 adv. loss: 0.716339	 adv. val: 0.714864	 dsc. loss: 0.680852	 dsc. val: 0.680912
rec. loss: 0.010641	 rec. val: 0.013659	 adv. loss: 0.723963	 adv. val: 0.716402	 dsc. loss: 0.680853	 dsc. val: 0.681501
rec. loss: 0.010473	 rec. val: 0.012100	 adv. loss: 0.730971	 adv. val: 0.727540	 dsc. loss: 0.680873	 dsc. val: 0.680971
rec. loss: 0.010469	 rec. val: 0.013052	 adv. loss: 0.738587	 adv. val: 0.736105	 dsc. loss: 0.680825	 dsc. val: 0.681001
rec. loss: 0.010409	 rec. val: 0.013829	 adv. loss: 0.743618	 adv. val: 0.746926	 dsc. loss: 0.680896	 dsc. val: 0.680966
rec. loss: 0.010395	 rec. val: 0.014057	 adv. loss: 0.744265	 adv. val: 0.743079	 dsc. loss: 0.680869	 dsc. val: 0.680806
rec. loss: 0.010343	 rec. val: 0.014035	 adv. loss: 0.744444	 adv. val: 0.754989	 dsc. loss: 0.680823	 dsc. val: 0.681335
rec. loss: 0.010402	 rec. val: 0.013402	 adv. loss: 0.744327	 adv. val: 0.731599	 dsc. loss: 0.680897	 dsc. val: 0.681647
rec. loss: 0.010329	 rec. val: 0.014561	 adv. loss: 0.744272	 adv. val: 0.743189	 dsc. loss: 0.680852	 dsc. val: 0.680892
rec. loss: 0.010325	 rec. val: 0.012652	 adv. loss: 0.744009	 adv. val: 0.735744	 dsc. loss: 0.680835	 dsc. val: 0.681104
rec. loss: 0.010333	 rec. val: 0.014577	 adv. loss: 0.744037	 adv. val: 0.748999	 dsc. loss: 0.680883	 dsc. val: 0.680883
rec. loss: 0.010344	 rec. val: 0.012697	 adv. loss: 0.744388	 adv. val: 0.743140	 dsc. loss: 0.680765	 dsc. val: 0.680836
rec. loss: 0.010296	 rec. val: 0.013469	 adv. loss: 0.744001	 adv. val: 0.743023	 dsc. loss: 0.680879	 dsc. val: 0.680853
rec. loss: 0.010255	 rec. val: 0.013187	 adv. loss: 0.744062	 adv. val: 0.730274	 dsc. loss: 0.680924	 dsc. val: 0.681906
rec. loss: 0.010272	 rec. val: 0.013946	 adv. loss: 0.744017	 adv. val: 0.726904	 dsc. loss: 0.680876	 dsc. val: 0.682779
rec. loss: 0.010218	 rec. val: 0.012532	 adv. loss: 0.743892	 adv. val: 0.743938	 dsc. loss: 0.680911	 dsc. val: 0.680821
rec. loss: 0.010224	 rec. val: 0.012392	 adv. loss: 0.744375	 adv. val: 0.735686	 dsc. loss: 0.680827	 dsc. val: 0.681099
rec. loss: 0.010184	 rec. val: 0.012913	 adv. loss: 0.744071	 adv. val: 0.740287	 dsc. loss: 0.680825	 dsc. val: 0.680908
rec. loss: 0.010122	 rec. val: 0.015084	 adv. loss: 0.744018	 adv. val: 0.757883	 dsc. loss: 0.680759	 dsc. val: 0.681713
rec. loss: 0.010073	 rec. val: 0.012832	 adv. loss: 0.744007	 adv. val: 0.743999	 dsc. loss: 0.680793	 dsc. val: 0.680983
rec. loss: 0.010120	 rec. val: 0.013993	 adv. loss: 0.744226	 adv. val: 0.741979	 dsc. loss: 0.680753	 dsc. val: 0.680848
rec. loss: 0.010050	 rec. val: 0.012565	 adv. loss: 0.743655	 adv. val: 0.755233	 dsc. loss: 0.680823	 dsc. val: 0.681539
rec. loss: 0.010049	 rec. val: 0.011233	 adv. loss: 0.743889	 adv. val: 0.758226	 dsc. loss: 0.680822	 dsc. val: 0.682009
rec. loss: 0.010094	 rec. val: 0.013918	 adv. loss: 0.743810	 adv. val: 0.743094	 dsc. loss: 0.680856	 dsc. val: 0.680840
rec. loss: 0.010028	 rec. val: 0.013415	 adv. loss: 0.744084	 adv. val: 0.731206	 dsc. loss: 0.680786	 dsc. val: 0.681687
rec. loss: 0.010021	 rec. val: 0.013267	 adv. loss: 0.743732	 adv. val: 0.738680	 dsc. loss: 0.680877	 dsc. val: 0.680990
rec. loss: 0.010036	 rec. val: 0.013759	 adv. loss: 0.743736	 adv. val: 0.751735	 dsc. loss: 0.680840	 dsc. val: 0.681101
rec. loss: 0.010000	 rec. val: 0.012930	 adv. loss: 0.743863	 adv. val: 0.753912	 dsc. loss: 0.680824	 dsc. val: 0.681362
rec. loss: 0.010020	 rec. val: 0.012752	 adv. loss: 0.743676	 adv. val: 0.739733	 dsc. loss: 0.680812	 dsc. val: 0.680915
rec. loss: 0.009895	 rec. val: 0.012175	 adv. loss: 0.743654	 adv. val: 0.727595	 dsc. loss: 0.680795	 dsc. val: 0.682162
rec. loss: 0.009877	 rec. val: 0.012241	 adv. loss: 0.743600	 adv. val: 0.734440	 dsc. loss: 0.680821	 dsc. val: 0.681228
rec. loss: 0.009950	 rec. val: 0.012956	 adv. loss: 0.743804	 adv. val: 0.741239	 dsc. loss: 0.680778	 dsc. val: 0.680832
rec. loss: 0.009928	 rec. val: 0.013101	 adv. loss: 0.743588	 adv. val: 0.744965	 dsc. loss: 0.680794	 dsc. val: 0.680867
rec. loss: 0.009929	 rec. val: 0.012473	 adv. loss: 0.743526	 adv. val: 0.737641	 dsc. loss: 0.680859	 dsc. val: 0.681022
rec. loss: 0.009894	 rec. val: 0.012087	 adv. loss: 0.743775	 adv. val: 0.741995	 dsc. loss: 0.680777	 dsc. val: 0.680848
rec. loss: 0.009872	 rec. val: 0.013253	 adv. loss: 0.743549	 adv. val: 0.734045	 dsc. loss: 0.680765	 dsc. val: 0.681378
rec. loss: 0.009869	 rec. val: 0.012844	 adv. loss: 0.743746	 adv. val: 0.741840	 dsc. loss: 0.680784	 dsc. val: 0.680806
rec. loss: 0.009870	 rec. val: 0.012172	 adv. loss: 0.743532	 adv. val: 0.732735	 dsc. loss: 0.680767	 dsc. val: 0.681335
rec. loss: 0.009811	 rec. val: 0.013134	 adv. loss: 0.743447	 adv. val: 0.747695	 dsc. loss: 0.680786	 dsc. val: 0.680968
rec. loss: 0.009810	 rec. val: 0.012448	 adv. loss: 0.743484	 adv. val: 0.743328	 dsc. loss: 0.680744	 dsc. val: 0.680914
rec. loss: 0.009785	 rec. val: 0.012229	 adv. loss: 0.743748	 adv. val: 0.738640	 dsc. loss: 0.680760	 dsc. val: 0.680968
rec. loss: 0.009780	 rec. val: 0.015405	 adv. loss: 0.743713	 adv. val: 0.795200	 dsc. loss: 0.680686	 dsc. val: 0.689082
rec. loss: 0.009760	 rec. val: 0.013891	 adv. loss: 0.743303	 adv. val: 0.750619	 dsc. loss: 0.680785	 dsc. val: 0.681003
rec. loss: 0.009689	 rec. val: 0.013550	 adv. loss: 0.743338	 adv. val: 0.748719	 dsc. loss: 0.680855	 dsc. val: 0.680916
rec. loss: 0.009696	 rec. val: 0.011484	 adv. loss: 0.743485	 adv. val: 0.749753	 dsc. loss: 0.680774	 dsc. val: 0.681189
rec. loss: 0.009724	 rec. val: 0.013078	 adv. loss: 0.743349	 adv. val: 0.729636	 dsc. loss: 0.680778	 dsc. val: 0.681917
rec. loss: 0.009728	 rec. val: 0.013081	 adv. loss: 0.743473	 adv. val: 0.730745	 dsc. loss: 0.680776	 dsc. val: 0.681757
rec. loss: 0.009699	 rec. val: 0.012615	 adv. loss: 0.743435	 adv. val: 0.742827	 dsc. loss: 0.680722	 dsc. val: 0.680811
rec. loss: 0.009610	 rec. val: 0.014754	 adv. loss: 0.743165	 adv. val: 0.748690	 dsc. loss: 0.680810	 dsc. val: 0.680874
